run_date,reporting_period,reporting_airport,origin_destination_country,origin_destination,airline_name,arrival_departure,scheduled_charter,number_flights_matched,actual_flights_unmatched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,flights_unmatched_percent,flights_cancelled_percent,average_delay_mins,previous_year_month_flights_matched,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay,src_id
14/03/2025 09:52,2025-01-01,ABERDEEN,NORWAY,STAVANGER,SAS,D,S,37,0,2,5.128205,66.666667,12.820513,2.564103,5.128205,0.0,0.0,2.564103,0.0,0.0,5.128205,10.0,30,62.857143,34.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,NORWAY,STAVANGER,WIDEROE FLYVESELSKAP A/S,A,S,28,0,5,12.121212,36.363636,24.242424,6.060606,0.0,6.060606,0.0,0.0,0.0,0.0,15.151515,9.0,37,77.5,11.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,NORWAY,STAVANGER,WIDEROE FLYVESELSKAP A/S,D,S,28,0,5,3.030303,45.454545,30.30303,0.0,0.0,6.060606,0.0,0.0,0.0,0.0,15.151515,7.0,37,72.5,12.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,SPAIN(CANARY ISLANDS),TENERIFE (SURREINA SOFIA),TUI AIRWAYS LTD,A,C,9,0,0,0.0,22.222222,44.444444,11.111111,11.111111,0.0,0.0,0.0,11.111111,0.0,0.0,52.0,9,88.888889,11.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,SPAIN(CANARY ISLANDS),TENERIFE (SURREINA SOFIA),TUI AIRWAYS LTD,D,C,9,0,0,0.0,11.111111,22.222222,22.222222,33.333333,0.0,0.0,11.111111,0.0,0.0,0.0,47.0,9,77.777778,14.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,SWITZERLAND,GENEVA,EASYJET UK LTD,A,S,4,0,0,0.0,0.0,50.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,4,50.0,19.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,SWITZERLAND,GENEVA,EASYJET UK LTD,D,S,4,0,0,0.0,0.0,25.0,25.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,4,0.0,43.0,00161
14/03/2025 09:52,2025-01-01,BELFAST CITY (GEORGE BEST),ANTIGUA AND BARBUDA,ST MAARTEN,VISTAJET LTD MALTA,D,C,1,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0,0.0,,
14/03/2025 09:52,2025-01-01,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,ABERDEEN,LOGANAIR LTD,A,S,16,0,1,5.882353,41.176471,11.764706,17.647059,5.882353,0.0,0.0,5.882353,5.882353,0.0,5.882353,53.0,16,50.0,45.0,
14/03/2025 09:52,2025-01-01,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,ABERDEEN,LOGANAIR LTD,D,S,16,0,1,0.0,52.941176,5.882353,17.647059,5.882353,0.0,0.0,5.882353,5.882353,0.0,5.882353,52.0,15,38.888889,54.0,
